Reporter Name,Partner Name,Year,Trade Flow,No Of imported HS6 digit Products,Import Share in Total Products (%),Import (US$ Thousand),Import Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
China,Aruba,2016,Import,9,0.2,378.31,0,3.17,0.13,47,29.79,70.21,0,0,12,0,0,9.79,367.44,3.17,0.13,47,29.79,70.21,0,0,12,0,0,9.79,367.44,
China,Afghanistan,2016,Import,60,1.35,4534.1,0,0,0,280,0,100,0,0,0,0,0,0,4488.71,6.63,5.89,280,84.29,15.71,0,0,35,0,0,4306.89,181.83,1
China,Angola,2016,Import,36,0.81,13966117.08,0.88,0,0,137,0,100,0,0,0,0,0,0,13966106.44,3.89,0.03,137,37.96,57.66,4.38,0,35,0,17743.71,96606.21,13869500.23,1
China,Albania,2016,Import,177,3.97,128596.47,0.01,14.14,1.32,1049,95.61,4.39,0,0,35,0,0,12416.11,116139.65,14.14,1.32,1049,95.61,4.39,0,0,35,0,0,12416.11,116139.65,
China,Andorra,2016,Import,25,0.56,108.12,0,8.1,10.51,144,86.11,13.89,0,0,17.5,0,0,99.04,5.32,8.1,10.51,144,86.11,13.89,0,0,17.5,0,0,99.04,5.32,
China,United Arab Emirates,2016,Import,762,17.1,9994362.64,0.63,9.8,3.57,2479,90.32,9.68,0,0,57,0,0,5823485.77,4169456.08,9.8,3.57,2479,90.32,9.68,0,0,57,0,0,5823485.77,4169456.08,
China,Argentina,2016,Import,508,11.4,5118095.61,0.32,9.69,4.23,1755,89.74,9.34,0.57,0.34,65,0,1700.28,4593775.04,523910.31,9.69,4.23,1755,89.74,9.34,0.57,0.34,65,0,1700.28,4593775.04,523910.31,
China,Armenia,2016,Import,78,1.75,280618.25,0.02,12.04,0.59,512,94.34,5.66,0,0,40,0,0,9876.23,270732.4,12.04,0.59,512,94.34,5.66,0,0,40,0,0,9876.23,270732.4,
China,Antigua and Barb.,2016,Import,15,0.34,37.34,0,7.2,7.53,49,77.55,22.45,0,0,15,0,0,33.39,0.37,7.2,7.53,49,77.55,22.45,0,0,15,0,0,33.39,0.37,
China,Australia,2016,Import,2364,53.05,70895012.7,4.46,5.69,1.22,7258,76.45,23.53,0,0.01,65,0,0,12314239.41,58575435.74,9.81,1.98,7258,90.42,9.42,0.14,0.01,65,0,50106.82,18227110.4,52662564.75,1
China,Austria,2016,Import,1990,44.66,5026543.8,0.32,9.22,6.9,5944,90.04,9.79,0.17,0,65,0,2188.96,4059381.19,965420.18,9.22,6.9,5944,90.04,9.79,0.17,0,65,0,2188.96,4059381.19,965420.18,
China,Azerbaijan,2016,Import,46,1.03,412081.78,0.03,11.05,0.59,189,95.24,4.76,0,0,40,0,0,36578.59,375498.41,11.05,0.59,189,95.24,4.76,0,0,40,0,0,36578.59,375498.41,
China,Burundi,2016,Import,10,0.22,2736.69,0,0,0,28,0,100,0,0,0,0,0,0,2736.25,4.52,6.52,28,50,50,0,0,15,0,0,1274.91,1461.34,1
China,Belgium,2016,Import,2310,51.84,6874055.37,0.43,9.26,7.29,7202,91.16,8.51,0.32,0.01,65,0,55913.86,6490550.93,381802.5,9.26,7.29,7202,91.16,8.51,0.32,0.01,65,0,55913.86,6490550.93,381802.5,
China,Benin,2016,Import,22,0.49,55392.33,0,2.08,3.57,108,2.78,97.22,0,0,40,0,0,14468.26,40917.65,8.08,3.71,108,27.78,66.67,5.56,0,40,0,36970.16,52912.57,2473.34,1
