Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%)
China,Aruba,2016,Export,598,13.54,25247.1,0
China,Afghanistan,2016,Export,1227,27.78,430653.26,0.02
China,Angola,2016,Export,2060,46.64,1680398.62,0.08
China,Albania,2016,Export,1737,39.33,506540.42,0.02
China,Andorra,2016,Export,189,4.28,1279.47,0
China,United Arab Emirates,2016,Export,3248,73.53,30066955.63,1.43
China,Argentina,2016,Export,2797,63.32,7200837.6,0.34
China,Armenia,2016,Export,1199,27.15,111083.09,0.01
China,Antigua and Barbuda,2016,Export,466,10.55,133431.19,0.01
China,Australia,2016,Export,3565,80.71,37282496.55,1.78
China,Austria,2016,Export,2076,47,2240082.6,0.11
China,Azerbaijan,2016,Export,1341,30.36,345883.25,0.02
China,Burundi,2016,Export,640,14.49,45047.49,0
China,Belgium,2016,Export,2989,67.67,14731455.11,0.7
China,Benin,2016,Export,1679,38.01,2039435.62,0.1
China,Bonaire,2016,Export,95,2.15,720.54,0
China,Burkina Faso,2016,Export,796,18.02,140997.48,0.01
China,Bangladesh,2016,Export,3123,70.7,14300635.41,0.68
China,Bulgaria,2016,Export,2184,49.45,1055552.57,0.05
China,Bahrain,2016,Export,1947,44.08,790491.39,0.04
China,"Bahamas, The",2016,Export,719,16.28,359494.1,0.02
China,Bosnia and Herzegovina,2016,Export,957,21.67,64026.82,0
China,Belarus,2016,Export,1820,41.2,1090019.15,0.05
China,Belize,2016,Export,806,18.25,89967.45,0
China,Bermuda,2016,Export,270,6.11,230173.55,0.01
China,Bolivia,2016,Export,1770,40.07,609869.76,0.03
China,Brazil,2016,Export,3102,70.23,21976152.77,1.05
China,Barbados,2016,Export,1048,23.73,72307.64,0
China,Brunei,2016,Export,1685,38.15,510852.39,0.02
China,Bhutan,2016,Export,326,7.38,4828.96,0
China,Botswana,2016,Export,1265,28.64,209573.22,0.01
China,Central African Republic,2016,Export,382,8.65,15462.73,0
China,Canada,2016,Export,3405,77.09,27312227.87,1.3
China,Switzerland,2016,Export,2327,52.68,3198285.71,0.15
China,Chile,2016,Export,3016,68.28,12802834.39,0.61
China,Cote d'Ivoire,2016,Export,1997,45.21,1584526.95,0.08
China,Cameroon,2016,Export,2021,45.76,1557030.06,0.07
China,"Congo, Rep.",2016,Export,1703,38.56,740629.56,0.04
China,Cook Islands,2016,Export,250,5.66,3190.21,0
China,Colombia,2016,Export,2864,64.84,6752372.93,0.32
China,Comoros,2016,Export,703,15.92,48374.93,0
China,Cape Verde,2016,Export,864,19.56,48671.44,0
China,Costa Rica,2016,Export,2156,48.81,1494675.74,0.07
China,Cuba,2016,Export,1939,43.9,1783014.08,0.09
China,Curaçao,2016,Export,931,21.08,72454.3,0
China,Cayman Islands,2016,Export,244,5.52,169063.01,0.01
China,Cyprus,2016,Export,1737,39.33,461848.63,0.02
China,Czech Republic,2016,Export,2330,52.75,8058523.91,0.38
China,Germany,2016,Export,3535,80.03,65214030.65,3.11
China,Djibouti,2016,Export,2063,46.71,2148396.6,0.1
China,Dominica,2016,Export,824,18.66,33447.35,0
China,Denmark,2016,Export,2376,53.79,5403747.14,0.26
China,Dominican Republic,2016,Export,2220,50.26,1566927.85,0.07
China,Algeria,2016,Export,2466,55.83,7647851.14,0.36
China,East Asia & Pacific,2016,Export,4346,98.39,820846549.6,39.13
China,Europe & Central Asia,2016,Export,4103,92.89,423479174.5,20.19
China,Ecuador,2016,Export,2474,56.01,2257103.3,0.11
China,"Egypt, Arab Rep.",2016,Export,2933,66.4,10436255.85,0.5
China,Eritrea,2016,Export,743,16.82,69320.97,0
China,Western Sahara,2016,Export,29,0.66,189.12,0
China,Spain,2016,Export,3181,72.02,21310945.57,1.02
China,Estonia,2016,Export,1831,41.45,963644.01,0.05
China,Ethiopia(excludes Eritrea),2016,Export,2249,50.92,3214476.65,0.15
China,Finland,2016,Export,2265,51.28,2875367.69,0.14
China,Fiji,2016,Export,1969,44.58,383776.42,0.02
China,France,2016,Export,3158,71.5,24958617.48,1.19
China,Faeroe Islands,2016,Export,157,3.55,1731.39,0
China,"Micronesia, Fed. Sts.",2016,Export,372,8.42,14174.1,0
China,Gabon,2016,Export,1442,32.65,377186.73,0.02
