Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%)
United States, World,2016,Export,4563,100,1450457291,100
United States,Afghanistan,2016,Export,1044,22.88,912556.61,0.06
United States,Albania,2016,Export,301,6.6,50293.42,0
United States,Algeria,2016,Export,863,18.91,2191231.33,0.15
United States,American Samoa,2016,Export,214,4.69,27982.49,0
United States,Andorra,2016,Export,68,1.49,2830.27,0
United States,Angola,2016,Export,1070,23.45,1251284.78,0.09
United States,Anguilla,2016,Export,710,15.56,42888.31,0
United States,Antigua and Barb.,2016,Export,1457,31.93,260439.95,0.02
United States,Argentina,2016,Export,2586,56.67,8512583.76,0.59
United States,Armenia,2016,Export,318,6.97,43578.12,0
United States,Aruba,2016,Export,2177,47.71,1678102.1,0.12
United States,Australia,2016,Export,3578,78.41,22147862.23,1.53
United States,Austria,2016,Export,1829,40.08,3772923.91,0.26
United States,Azerbaijan,2016,Export,622,13.63,433527.78,0.03
United States,Bahamas,2016,Export,2536,55.58,2112174.11,0.15
United States,Bahrain,2016,Export,1525,33.42,899429.34,0.06
United States,Bangladesh,2016,Export,1019,22.33,905702.65,0.06
United States,Barbados,2016,Export,2180,47.78,481578.98,0.03
United States,Belarus,2016,Export,430,9.42,195019.46,0.01
United States,Belgium,2016,Export,2882,63.16,32094446.63,2.21
United States,Belize,2016,Export,1370,30.02,267008.93,0.02
United States,Benin,2016,Export,224,4.91,235127.53,0.02
United States,Bermuda,2016,Export,1797,39.38,628243.94,0.04
United States,Bhutan,2016,Export,42,0.92,1975.6,0
United States,Bolivia,2016,Export,1516,33.22,657279.96,0.05
United States,Bosnia and Herz.,2016,Export,266,5.83,29365.01,0
United States,Botswana,2016,Export,257,5.63,42427.38,0
United States,Brazil,2016,Export,3247,71.16,30106933.17,2.08
United States,British Indian Ocean Ter.,2016,Export,143,3.13,5456.46,0
United States,British Virgin Islands,2016,Export,1331,29.17,332907.12,0.02
United States,Brunei,2016,Export,545,11.94,614697.05,0.04
United States,Bulgaria,2016,Export,982,21.52,268639.16,0.02
United States,Burkina Faso,2016,Export,249,5.46,35387.43,0
United States,Burundi,2016,Export,70,1.53,8407.31,0
United States,Cambodia,2016,Export,578,12.67,360680.7,0.02
United States,Cameroon,2016,Export,688,15.08,189770.77,0.01
United States,Canada,2016,Export,4419,96.84,266764846.6,18.39
United States,Cape Verde,2016,Export,86,1.88,8693.75,0
United States,Cayman Islands,2016,Export,1916,41.99,741943.02,0.05
United States,Central African Rep.,2016,Export,110,2.41,9418.67,0
United States,Chad,2016,Export,261,5.72,32817.28,0
United States,Chile,2016,Export,3145,68.92,12916861.65,0.89
United States,China,2016,Export,3885,85.14,115602060.3,7.97
United States,Christmas Island,2016,Export,20,0.44,1143.4,0
United States,Cocos (Keeling) Islands,2016,Export,25,0.55,779.47,0
United States,Colombia,2016,Export,3351,73.44,13067395.46,0.9
United States,Comoros,2016,Export,19,0.42,1349.89,0
United States,"Congo, Rep.",2016,Export,522,11.44,130887.17,0.01
United States,Cook Islands,2016,Export,96,2.1,4650.19,0
United States,Costa Rica,2016,Export,3161,69.27,5869620.18,0.4
United States,Cote d'Ivoire,2016,Export,606,13.28,291257.96,0.02
United States,Croatia,2016,Export,721,15.8,285822.46,0.02
United States,Cuba,2016,Export,100,2.19,245454.84,0.02
United States,Cyprus,2016,Export,673,14.75,181501.95,0.01
United States,Czech Republic,2016,Export,1823,39.95,1957937.97,0.14
United States,Dem. Rep. Congo ,2016,Export,350,7.67,82754.41,0.01
United States,Denmark,2016,Export,1971,43.2,2238179.72,0.15
United States,Djibouti,2016,Export,486,10.65,132540.74,0.01
United States,Dominica,2016,Export,845,18.52,51084.04,0
United States,Dominican Republic,2016,Export,3308,72.5,7756054.35,0.53
United States,East Asia & Pacific,2016,Export,4424,96.95,357673534.4,24.66
United States,East Timor,2016,Export,46,1.01,1617.01,0
United States,Ecuador,2016,Export,2496,54.7,4153212.37,0.29
United States,Egypt,2016,Export,1896,41.55,3482699.01,0.24
United States,El Salvador,2016,Export,2612,57.24,2927798.34,0.2
United States,Equatorial Guinea,2016,Export,790,17.31,278439.39,0.02
United States,Eritrea,2016,Export,52,1.14,3047.9,0
United States,Estonia,2016,Export,846,18.54,232621.77,0.02
United States,Ethiopia,2016,Export,660,14.46,826247.13,0.06
United States,Europe & Central Asia,2016,Export,4390,96.21,316744201.7,21.84
United States,Faeroe Islands,2016,Export,47,1.03,2582.13,0
United States,Falkland Island,2016,Export,27,0.59,1484.58,0
United States,Fiji,2016,Export,554,12.14,55049.12,0
United States,Finland,2016,Export,1775,38.9,1568776.4,0.11
United States,Fr. So. Ant. Tr,2016,Export,43,0.94,4912.1,0
United States,France,2016,Export,3299,72.3,32618447,2.25
United States,French Polynesia,2016,Export,898,19.68,100121.88,0.01
United States,Gabon,2016,Export,441,9.66,85017.52,0.01
United States,"Gambia, The",2016,Export,149,3.27,40003.77,0
United States,Georgia,2016,Export,676,14.81,324485.85,0.02
United States,Germany,2016,Export,3693,80.93,49164592.88,3.39
United States,Ghana,2016,Export,1219,26.71,831997.82,0.06
United States,Gibraltar,2016,Export,83,1.82,1683639.28,0.12
United States,Greece,2016,Export,1508,33.05,746588.92,0.05
United States,Greenland,2016,Export,93,2.04,4049.96,0
United States,Grenada,2016,Export,1077,23.6,86802.13,0.01
United States,Guatemala,2016,Export,2931,64.23,5840921.76,0.4
United States,Guinea,2016,Export,354,7.76,84190.13,0.01
