,,,,,,,,,,,,,,,,,,,,,,,,,
Part B: NOT Seasonally Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 14a. U.S. Trade in Goods by Selected Countries and Areas: 2017,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Details may not equal totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
(X) - Not applicable.  (-) Represents zero or less than one-half of measurement shown. ,,,,,,,,,,,,,,,,,,,,,,,,,
Item (1),Balance,,,,Exports,,,,Imports,,,,,,,,,,,,,,,,
,"February
2017","January
2017",,"Year-to-Date
2017","February
2017","January
2017",,"Year-to-Date
2017","February
2017","January
2017",,"Year-to-Date
2017",,,,,,,,,,,,,
Total Balance of Payments Basis,"-51,129",,"-68,750","-119,879","119,779",,"118,728","238,506","170,908",,"187,478","358,385",,,,,,,,,,,,,
Net Adjustments,-993,,-890,"-1,883",540,,724,"1,264","1,533",,"1,614","3,147",,,,,,,,,,,,,
Total Census Basis,"-50,136",,"-67,860","-117,996","119,238",,"118,004","237,242","169,375",,"185,863","355,238",,,,,,,,,,,,,
North America,"-7,890",,"-7,362","-15,251","39,285",,"40,402","79,688","47,175",,"47,764","94,939",,,,,,,,,,,,,
Canada,"-2,127",,"-3,414","-5,541","21,138",,"20,869","42,007","23,265",,"24,282","47,548",,,,,,,,,,,,,
Mexico,"-5,763",,"-3,948","-9,711","18,147",,"19,534","37,681","23,910",,"23,482","47,391",,,,,,,,,,,,,
Europe,"-10,650",,"-13,901","-24,551","26,505",,"24,601","51,106","37,155",,"38,502","75,657",,,,,,,,,,,,,
European Union,"-9,392",,"-11,539","-20,930","22,995",,"21,290","44,285","32,387",,"32,829","65,215",,,,,,,,,,,,,
Austria,88,,43,131,953,,854,"1,806",865,,811,"1,675",,,,,,,,,,,,,
Belgium,"1,137",,"1,254","2,392","2,409",,"2,327","4,735","1,271",,"1,072","2,343",,,,,,,,,,,,,
Czech Republic,-161,,-161,-322,173,,163,336,334,,324,658,,,,,,,,,,,,,
Finland,-250,,-173,-423,108,,155,263,358,,328,686,,,,,,,,,,,,,
France,"-1,121",,"-1,327","-2,448","2,503",,"2,436","4,940","3,625",,"3,763","7,388",,,,,,,,,,,,,
Germany,"-4,435",,"-4,883","-9,318","4,233",,"3,899","8,131","8,668",,"8,782","17,450",,,,,,,,,,,,,
Hungary,-159,,-223,-381,172,,147,318,330,,370,700,,,,,,,,,,,,,
Ireland,"-3,691",,"-3,257","-6,948",729,,750,"1,478","4,420",,"4,006","8,426",,,,,,,,,,,,,
Italy,"-1,790",,"-2,227","-4,016","1,619",,"1,419","3,037","3,408",,"3,645","7,054",,,,,,,,,,,,,
Netherlands,"2,094",,"1,792","3,885","3,447",,"3,182","6,629","1,353",,"1,390","2,743",,,,,,,,,,,,,
Poland,-195,,-206,-400,292,,258,550,487,,464,951,,,,,,,,,,,,,
Spain,86,,-97,-11,993,,900,"1,893",906,,998,"1,904",,,,,,,,,,,,,
Sweden,-493,,-536,"-1,029",264,,282,546,757,,818,"1,575",,,,,,,,,,,,,
United Kingdom,447,,-609,-162,"4,378",,"3,732","8,110","3,931",,"4,341","8,272",,,,,,,,,,,,,
Other,-950,,-931,"-1,881",724,,787,"1,510","1,674",,"1,717","3,391",,,,,,,,,,,,,
Norway,-72,,-55,-127,339,,289,628,411,,344,755,,,,,,,,,,,,,
Russia,-594,,-907,"-1,501",428,,314,742,"1,022",,"1,222","2,243",,,,,,,,,,,,,
Switzerland,-792,,"-1,335","-2,127","1,549",,"1,724","3,273","2,341",,"3,059","5,400",,,,,,,,,,,,,
Other Europe,200,,-66,134,"1,195",,983,"2,178",995,,"1,048","2,043",,,,,,,,,,,,,
