                  ,,,,,,,,,,,,,,,,,,,,,,,,,
Part B: NOT Seasonally Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 14. U.S. Trade in Goods by Selected Countries and Areas: 2018,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Details may not equal totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
 (R) - Revised. (X) - Not applicable. (-) Represents zero or less than one-half of measurement shown.,,,,,,,,,,,,,,,,,,,,,,,,,
Item (1),Balance,,,,Exports,,,,Imports,,,,,,,,,,,,,,,,
,"February
2018","January
2018",,"Year-to-Date
2018","February
2018","January
2018",,"Year-to-Date
2018","February
2018","January
2018",,"Year-to-Date
2018",,,,,,,,,,,,,
Total Balance of Payments Basis,"-60,679",(R),"-79,642","-140,321","128,447",(R),"125,663","254,110","189,126",(R),"205,305","394,431",,,,,,,,,,,,,
Net Adjustments,"-1,152",(R),"-1,268","-2,420",349,(R),445,794,"1,501",(R),"1,713","3,214",,,,,,,,,,,,,
Total Census Basis,"-59,527",(R),"-78,374","-137,901","128,098",(R),"125,219","253,316","187,625",(R),"203,593","391,218",,,,,,,,,,,,,
North America,"-6,449",(R),"-7,840","-14,289","43,758",(R),"44,370","88,128","50,208",,"52,210","102,418",,,,,,,,,,,,,
Canada,-386,(R),"-3,704","-4,090","23,534",(R),"22,567","46,101","23,920",,"26,272","50,191",,,,,,,,,,,,,
Mexico,"-6,063",,"-4,136","-10,199","20,225",,"21,803","42,027","26,288",,"25,938","52,226",,,,,,,,,,,,,
Europe,"-13,581",,"-15,994","-29,575","29,032",,"27,490","56,523","42,613",,"43,485","86,097",,,,,,,,,,,,,
European Union,"-12,047",,"-13,617","-25,664","24,975",,"23,260","48,235","37,021",,"36,877","73,899",,,,,,,,,,,,,
Austria,-597,,-602,"-1,198",313,,297,610,910,,899,"1,809",,,,,,,,,,,,,
Belgium,"1,277",,"1,086","2,363","2,478",,"2,353","4,831","1,201",,"1,267","2,468",,,,,,,,,,,,,
Czech Republic,-170,,-149,-320,205,,244,449,375,,394,768,,,,,,,,,,,,,
Finland,-435,,-446,-881,149,,111,260,584,,557,"1,141",,,,,,,,,,,,,
France,"-1,251",,"-1,234","-2,485","2,594",,"2,364","4,958","3,845",,"3,599","7,444",,,,,,,,,,,,,
Germany,"-5,351",,"-5,386","-10,737","4,644",,"4,403","9,047","9,995",,"9,789","19,784",,,,,,,,,,,,,
Hungary,-242,,-270,-512,142,,118,260,384,,388,772,,,,,,,,,,,,,
Ireland,"-3,651",,"-3,514","-7,165",830,,"1,041","1,872","4,482",,"4,556","9,037",,,,,,,,,,,,,
Italy,"-2,384",,"-2,647","-5,031","1,593",,"1,669","3,262","3,977",,"4,316","8,293",,,,,,,,,,,,,
Netherlands,"2,284",,"2,050","4,334","3,854",,"3,677","7,530","1,570",,"1,626","3,196",,,,,,,,,,,,,
Poland,-212,,-316,-528,369,,310,679,581,,626,"1,207",,,,,,,,,,,,,
Spain,-426,,-493,-919,"1,081",,915,"1,996","1,507",,"1,408","2,915",,,,,,,,,,,,,
Sweden,-501,,-577,"-1,078",382,,279,660,882,,856,"1,738",,,,,,,,,,,,,
United Kingdom,656,,231,887,"5,613",,"4,780","10,393","4,956",,"4,549","9,505",,,,,,,,,,,,,
Other,"-1,045",,"-1,350","-2,395",726,,700,"1,426","1,771",,"2,050","3,821",,,,,,,,,,,,,
Norway,102,,96,198,509,,524,"1,033",408,,428,835,,,,,,,,,,,,,
Russia,-693,,"-1,121","-1,814",566,,434,"1,001","1,259",,"1,555","2,814",,,,,,,,,,,,,
Switzerland,"-1,168",,"-1,115","-2,282","1,717",,"2,129","3,846","2,885",,"3,243","6,128",,,,,,,,,,,,,
Other Europe,225,,-238,-13,"1,265",,"1,143","2,408","1,040",,"1,381","2,421",,,,,,,,,,,,,
Euro Area,"-10,926",,"-11,844","-22,770","17,928",,"17,232","35,159","28,854",,"29,076","57,929",,,,,,,,,,,,,
Pacific Rim Countries,"-34,838",,"-44,577","-79,415","32,121",,"31,230","63,351","66,960",,"75,807","142,767",,,,,,,,,,,,,
Australia,"1,354",,"1,091","2,444","1,957",,"1,939","3,896",604,,848,"1,451",,,,,,,,,,,,,
China,"-29,262",,"-35,953","-65,214","9,806",,"9,835","19,641","39,068",,"45,788","84,856",,,,,,,,,,,,,
Hong Kong,"3,583",,"2,408","5,991","4,014",,"2,932","6,946",431,,524,955,,,,,,,,,,,,,
Indonesia,"-1,151",,"-1,238","-2,389",551,,571,"1,122","1,702",,"1,809","3,511",,,,,,,,,,,,,
Japan,"-5,503",,"-5,652","-11,155","5,313",,"5,650","10,964","10,816",,"11,302","22,118",,,,,,,,,,,,,
"Korea, South",-683,,"-1,968","-2,651","4,292",,"3,688","7,980","4,975",,"5,656","10,631",,,,,,,,,,,,,
Malaysia,"-2,124",,"-1,937","-4,061","1,036",,"1,007","2,043","3,160",,"2,944","6,104",,,,,,,,,,,,,
Philippines,-289,,-332,-621,641,,662,"1,303",930,,994,"1,924",,,,,,,,,,,,,
Singapore,597,,757,"1,354","2,309",,"2,553","4,862","1,712",,"1,796","3,508",,,,,,,,,,,,,
Taiwan,"-1,312",,"-1,691","-3,003","1,903",,"2,084","3,988","3,216",,"3,775","6,991",,,,,,,,,,,,,
Other,-48,,-62,-110,299,,309,607,347,,371,718,,,,,,,,,,,,,
South/Central America,"3,055",,"1,423","4,479","12,266",,"11,935","24,201","9,210",,"10,512","19,722",,,,,,,,,,,,,
Argentina,275,,451,726,708,,802,"1,510",433,,350,784,,,,,,,,,,,,,
Brazil,971,,223,"1,194","2,950",,"2,985","5,935","1,978",,"2,762","4,740",,,,,,,,,,,,,
Chile,-75,,-169,-244,"1,056",,"1,039","2,095","1,131",,"1,207","2,338",,,,,,,,,,,,,
Colombia,-300,,-437,-738,922,,"1,070","1,992","1,222",,"1,507","2,729",,,,,,,,,,,,,
Other,"2,185",,"1,355","3,540","6,630",,"6,040","12,671","4,445",,"4,685","9,130",,,,,,,,,,,,,
OPEC,"-1,367",,"-2,865","-4,232","4,145",,"3,614","7,759","5,513",,"6,479","11,992",,,,,,,,,,,,,
Nigeria,-489,,-598,"-1,087",164,,186,349,653,,784,"1,437",,,,,,,,,,,,,
Saudi Arabia,-280,,-683,-963,"1,011",,802,"1,814","1,291",,"1,486","2,776",,,,,,,,,,,,,
Venezuela,-292,,-496,-788,452,,405,856,743,,901,"1,644",,,,,,,,,,,,,
Other,-307,,"-1,087","-1,395","2,519",,"2,221","4,740","2,826",,"3,309","6,135",,,,,,,,,,,,,
Africa,-896,,"-1,554","-2,450","1,684",,"1,732","3,416","2,580",,"3,286","5,866",,,,,,,,,,,,,
Algeria,-279,,-402,-680,73,,41,113,351,,443,794,,,,,,,,,,,,,
Egypt,278,,251,529,407,,382,789,130,,131,261,,,,,,,,,,,,,
South Africa,-172,,-236,-408,356,,399,754,527,,635,"1,163",,,,,,,,,,,,,
Other,-724,,"-1,166","-1,890",848,,911,"1,759","1,572",,"2,077","3,649",,,,,,,,,,,,,
Other Countries,"-6,578",,"-8,799","-15,376","6,271",,"5,957","12,228","12,849",,"14,756","27,604",,,,,,,,,,,,,
India,"-1,677",,"-2,208","-3,885","2,279",,"2,219","4,499","3,957",,"4,427","8,384",,,,,,,,,,,,,
Thailand,"-1,328",,"-1,615","-2,943",899,,"1,028","1,927","2,227",,"2,643","4,870",,,,,,,,,,,,,
Other,"-3,572",,"-4,976","-8,548","3,093",,"2,710","5,803","6,665",,"7,685","14,350",,,,,,,,,,,,,
Unidentified Countries (2),(-),,(-),(-),(-),,(-),(-),(X),,(X),(X),,,,,,,,,,,,,
Timing Adjustments,(X),,-157,-157,(-),,-43,-43,(X),,114,114,,,,,,,,,,,,,
