,,,,,,,,,,,,,,,,,,,,,,,,,
Part B: NOT Seasonally Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 16a. U.S. Trade in Advanced Technology Products by Technology Group and Selected Countries and Areas,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Details may not equal totals due to rounding. (-) Represents zero or less than one-half of measurement shown.,,,,,,,,,,,,,,,,,,,,,,,,,
Technology Group,2018,,,,,,,,,2017,,,,,,,,,,,,,,,
,February,,,January,,,Year-to-Date,,,Year-to-Date,,,,,,,,,,,,,,,
,Balance,Exports,Imports,Balance,Exports,Imports,Balance,Exports,Imports,Balance,Exports,Imports,,,,,,,,,,,,,
Total,"-7,933","26,019","33,952","-11,491","27,457","38,948","-19,424","53,477","72,900","-12,996","51,455","64,450",,,,,,,,,,,,,
Advanced Materials,-13,217,230,-8,228,235,-20,445,465,71,493,422,,,,,,,,,,,,,
Aerospace (1),"5,462","9,115","3,654","5,612","8,982","3,370","11,073","18,097","7,024","11,026","18,038","7,012",,,,,,,,,,,,,
Biotechnology,"-1,260","1,441","2,700","-1,228","1,957","3,185","-2,488","3,398","5,885",-233,"3,799","4,032",,,,,,,,,,,,,
Electronics,-20,"3,417","3,437",545,"3,950","3,405",525,"7,367","6,842",610,"7,098","6,489",,,,,,,,,,,,,
Flexible Manufacturing,514,"1,642","1,128",580,"1,686","1,106","1,094","3,329","2,235",864,"2,863","1,999",,,,,,,,,,,,,
Information and Communications (1),"-10,492","7,149","17,641","-13,631","7,677","21,308","-24,123","14,826","38,949","-20,893","13,383","34,276",,,,,,,,,,,,,
Life Science,"-1,436","2,371","3,807","-2,185","2,297","4,483","-3,621","4,668","8,290","-3,050","4,467","7,517",,,,,,,,,,,,,
Nuclear Technology,-56,40,96,-92,43,135,-147,84,231,66,267,201,,,,,,,,,,,,,
Opto-Electronics (1),-771,428,"1,198","-1,304",346,"1,649","-2,075",773,"2,848","-1,721",636,"2,356",,,,,,,,,,,,,
Weapons,139,199,60,219,291,72,358,490,132,266,411,145,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Selected Countries and Areas,2018,,,,,,,,,2017,,,,,,,,,,,,,,,
,February,,,January,,,Year-to-Date,,,Year-to-Date,,,,,,,,,,,,,,,
,Balance,Exports,Imports,Balance,Exports,Imports,Balance,Exports,Imports,Balance,Exports,Imports,,,,,,,,,,,,,
Total,"-7,933","26,019","33,952","-11,491","27,457","38,948","-19,424","53,477","72,900","-12,996","51,455","64,450",,,,,,,,,,,,,
North America,597,"5,634","5,038",494,"6,013","5,519","1,090","11,647","10,557",845,"10,345","9,499",,,,,,,,,,,,,
Canada,"1,609","2,578",969,"1,472","2,470",997,"3,081","5,047","1,966","2,354","4,452","2,098",,,,,,,,,,,,,
Mexico,"-1,012","3,057","4,069",-979,"3,543","4,522","-1,991","6,600","8,591","-1,508","5,893","7,401",,,,,,,,,,,,,
European Union,-692,"6,876","7,567","-1,291","6,886","8,177","-1,983","13,762","15,744",-495,"13,311","13,806",,,,,,,,,,,,,
France,173,"1,048",875,250,995,745,422,"2,043","1,621",12,"2,187","2,174",,,,,,,,,,,,,
Germany,-845,"1,235","2,080",-462,"1,358","1,820","-1,307","2,593","3,900",-279,"2,175","2,454",,,,,,,,,,,,,
Ireland,"-1,780",418,"2,198","-1,911",643,"2,554","-3,691","1,060","4,751","-3,800",752,"4,552",,,,,,,,,,,,,
Italy,-7,368,375,-71,379,450,-78,747,825,-27,716,743,,,,,,,,,,,,,
United Kingdom,794,"1,487",693,435,"1,266",831,"1,229","2,752","1,524","1,098","2,335","1,237",,,,,,,,,,,,,
Other,974,"2,320","1,346",469,"2,247","1,778","1,443","4,567","3,124","2,502","5,146","2,645",,,,,,,,,,,,,
Pacific Rim Countries,"-10,520","8,205","18,725","-13,407","8,985","22,392","-23,927","17,190","41,116","-17,987","17,153","35,140",,,,,,,,,,,,,
Australia,336,492,155,324,497,173,660,988,328,474,723,249,,,,,,,,,,,,,
China,"-9,117","2,005","11,122","-12,391","2,301","14,692","-21,508","4,306","25,814","-16,882","4,580","21,462",,,,,,,,,,,,,
Hong Kong,658,712,54,896,968,72,"1,554","1,680",126,"1,806","1,894",88,,,,,,,,,,,,,
Indonesia,-17,52,69,-29,37,66,-46,89,135,-27,83,111,,,,,,,,,,,,,
Japan,-499,"1,357","1,856",-244,"1,378","1,623",-743,"2,736","3,479",-712,"2,566","3,278",,,,,,,,,,,,,
"Korea, South",186,"1,291","1,106",-274,"1,083","1,357",-88,"2,374","2,462",-360,"1,953","2,313",,,,,,,,,,,,,
Malaysia,"-1,555",543,"2,098","-1,281",617,"1,898","-2,836","1,159","3,996","-2,500","1,290","3,790",,,,,,,,,,,,,
Philippines,-172,242,415,-115,279,395,-288,522,809,-142,470,612,,,,,,,,,,,,,
Singapore,(-),765,765,148,"1,015",867,147,"1,779","1,632",340,"1,446","1,106",,,,,,,,,,,,,
Taiwan,-401,671,"1,071",-502,729,"1,231",-903,"1,400","2,303",-119,"1,983","2,102",,,,,,,,,,,,,
Other,62,76,14,63,81,19,124,157,33,134,164,30,,,,,,,,,,,,,
South/Central America,"1,880","2,136",256,"1,922","2,170",247,"3,803","4,306",503,"3,496","4,048",551,,,,,,,,,,,,,
Brazil,782,854,72,762,841,79,"1,545","1,695",151,"1,104","1,377",273,,,,,,,,,,,,,
Other,"1,098","1,282",184,"1,160","1,328",168,"2,258","2,610",352,"2,392","2,670",278,,,,,,,,,,,,,
Other Countries,802,"3,168","2,367",791,"3,404","2,613","1,592","6,572","4,979","1,144","6,598","5,454",,,,,,,,,,,,,
India,226,391,164,243,416,173,470,807,337,321,574,253,,,,,,,,,,,,,
Israel,203,408,205,-63,223,285,140,631,491,-230,439,669,,,,,,,,,,,,,
Thailand,-565,219,783,-431,400,831,-995,619,"1,615","-1,306",426,"1,733",,,,,,,,,,,,,
Other,937,"2,150","1,214","1,041","2,365","1,324","1,978","4,515","2,537","2,360","5,159","2,799",,,,,,,,,,,,,
(1) Export statistics for certain commodity classifications related to the aircraft industry are subject to suppression and have been aggregated in a manner that prevents the disclosure of confidential ,,,,,,,,,,,,,,,,,,,,,,,,,
"information. As a result, Advanced Technology Product exports are overstated by $327 million in February 2018. For additional information, see www.census.gov/foreign-trade/statistics/notices/aircraft/. ",,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: Data are not available on a BOP basis. For information on data sources, nonsampling errors, and definitions, see the explanatory notes in this release or at www.census.gov/ft900 or",,,,,,,,,,,,,,,,,,,,,,,,,
www.bea.gov/newsreleases/international/trade/tradnewsrelease.htm.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
