,,,,,,,,,,,,,,,,,,,,,,,,,
"Exhibit 1. Exports, Imports, and Balance of Goods by Selected NAICS-Based Product Code,",,,,,,,,,,,,,,,,,,,,,,,,,
Not Seasonally Adjusted: February 2018,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Details may not equal total due to rounding. (X) Not Applicable. (-) Represents zero or less than one-half unit of measurement shown.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Balance,,Exports,,Imports for Consumption (Customs Value),,,,,,,,,,,,,,,,,,,,
NAICS-Based Product,,,,,Totals,,Calculated Duty,,,,,,,,,,,,,,,,,,
Code Description,February,Year-to-Date,February,Year-to-Date,February,Year-to-Date,February,Year-to-Date,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,
GRAND TOTAL,"-61,709.0","-138,266.4","128,097.6","253,316.2","189,806.6","391,582.6","2,749.3","5,698.2",,,,,,,,,,,,,,,,,
"Agricultural, Forestry & Fishery Products",872.0,"1,115.4","6,256.0","12,479.4","5,384.1","11,364.0",7.2,13.7,,,,,,,,,,,,,,,,,
(Domestic),,,,,,,,,,,,,,,,,,,,,,,,,
"Agricultural Products, Total","1,894.5","3,679.1","5,442.4","11,124.5","3,547.9","7,445.4",6.3,11.7,,,,,,,,,,,,,,,,,
Livestock And Livestock Products,-327.9,-675.3,142.9,271.1,470.8,946.4,0.1,0.3,,,,,,,,,,,,,,,,,
"Forestry Products, Nspf",58.8,34.5,256.6,450.9,197.7,416.4,0.2,0.4,,,,,,,,,,,,,,,,,
"Fish, Fresh Or Chilled; And Other Marine Products",-753.4,"-1,923.0",414.2,632.9,"1,167.7","2,555.9",0.6,1.3,,,,,,,,,,,,,,,,,
"Mining, Total","-4,835.4","-11,935.2","6,251.7","12,412.8","11,087.1","24,348.0",9.1,19.7,,,,,,,,,,,,,,,,,
(Domestic),,,,,,,,,,,,,,,,,,,,,,,,,
Oil And Gas,"-5,868.5","-13,955.0","4,810.9","9,449.3","10,679.4","23,404.4",9.0,19.4,,,,,,,,,,,,,,,,,
Minerals And Ores,"1,033.1","2,019.8","1,440.8","2,963.4",407.7,943.7,0.1,0.3,,,,,,,,,,,,,,,,,
"Manufacturing, Total","-76,111.9","-162,934.5","88,854.8","175,217.2","164,966.7","338,151.7","2,723.9","5,650.0",,,,,,,,,,,,,,,,,
(Domestic),,,,,,,,,,,,,,,,,,,,,,,,,
Food And Kindred Products,-59.9,-541.0,"5,068.7","10,020.9","5,128.6","10,561.9",73.3,154.1,,,,,,,,,,,,,,,,,
Beverages And Tobacco,"-1,171.0","-2,387.2",581.5,"1,104.5","1,752.5","3,491.7",7.6,14.4,,,,,,,,,,,,,,,,,
Textile And Fabrics,23.0,-32.0,704.1,"1,365.9",681.1,"1,397.9",29.4,61.2,,,,,,,,,,,,,,,,,
Textile Mill Products,"-1,548.5","-3,170.0",214.1,429.6,"1,762.7","3,599.6",108.6,222.9,,,,,,,,,,,,,,,,,
Apparel And Accessories,"-6,728.4","-13,891.1",229.0,441.3,"6,957.4","14,332.4",943.6,"1,969.8",,,,,,,,,,,,,,,,,
Leather And Allied Products,"-3,034.8","-6,344.3",226.2,447.5,"3,261.0","6,791.8",343.7,720.1,,,,,,,,,,,,,,,,,
Wood Products,-932.8,"-2,026.4",642.3,"1,203.3","1,575.1","3,229.7",20.1,40.1,,,,,,,,,,,,,,,,,
Paper Products,327.7,583.9,"1,933.0","3,896.6","1,605.4","3,312.7",4.3,8.8,,,,,,,,,,,,,,,,,
"Printing, Publishing & Similar Products",-58.1,-128.5,349.4,728.2,407.5,856.7,0.1,0.2,,,,,,,,,,,,,,,,,
Petroleum And Coal Products,"1,433.6","3,053.3","6,854.8","14,548.6","5,421.2","11,495.3",8.9,18.2,,,,,,,,,,,,,,,,,
Chemicals,"-5,484.2","-11,299.5","14,655.5","29,768.1","20,139.7","41,067.6",157.9,318.7,,,,,,,,,,,,,,,,,
Plastic And Rubber Products (1),"-1,931.2","-4,207.1","2,488.4","4,901.5","4,419.6","9,108.6",112.2,233.8,,,,,,,,,,,,,,,,,
Nonmetallic Mineral Products (1),-971.8,"-1,986.0",876.8,"1,781.2","1,848.6","3,767.2",59.1,121.8,,,,,,,,,,,,,,,,,
Primary Metal Products,"-2,721.9","-6,522.4","4,923.0","9,382.8","7,644.9","15,905.2",27.7,60.1,,,,,,,,,,,,,,,,,
Fabricated Metal Products,"-2,717.9","-5,700.9","3,127.8","6,282.9","5,845.7","11,983.8",132.3,270.7,,,,,,,,,,,,,,,,,
"Machinery, Except Electrical","-4,517.0","-10,180.9","9,572.1","18,733.3","14,089.0","28,914.2",97.4,201.3,,,,,,,,,,,,,,,,,
Computers and Electronic Products (1),"-20,229.8","-42,983.1","8,814.5","17,897.3","29,044.3","60,880.4",47.8,100.4,,,,,,,,,,,,,,,,,
