,,,,,,,,,,,,,,,,,,,,,,,,,
Part A: Seasonally Adjusted (by Commodity/Service),,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 7. U.S. Exports of Goods by End-Use Category and Commodity,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Details may not equal totals due to seasonal adjustment and rounding. The commodities in this exhibit are ranked ,,,,,,,,,,,,,,,,,,,,,,,,,
on the monthly change within each major commodity grouping. (-) Represents zero or less than one-half of measurement shown. (R) - Revised.,,,,,,,,,,,,,,,,,,,,,,,,,
Item (1),February,January,Monthly ,Year-to-Date,Year-to-Date,Year-to-Date,,,,,,,,,,,,,,,,,,,
,2018,2018 (R),Change,2018,2017,Change,,,,,,,,,,,,,,,,,,,
"Total, Balance of Payments Basis","137,179","134,149","3,030","271,328","255,139","16,189",,,,,,,,,,,,,,,,,,,
Net Adjustments,505,590,-84,"1,095","1,547",-452,,,,,,,,,,,,,,,,,,,
"Total, Census Basis","136,674","133,559","3,115","270,233","253,591","16,641",,,,,,,,,,,,,,,,,,,
"Foods, feeds, and beverages","10,746","10,737",9,"21,483","21,370",112,,,,,,,,,,,,,,,,,,,
Fish and shellfish,524,453,71,977,818,159,,,,,,,,,,,,,,,,,,,
Dairy products and eggs,377,336,41,713,686,26,,,,,,,,,,,,,,,,,,,
"Animal feeds, n.e.c.",709,670,39,"1,379","1,345",34,,,,,,,,,,,,,,,,,,,
Rice,183,157,26,340,405,-65,,,,,,,,,,,,,,,,,,,
"Meat, poultry, etc.","1,698","1,676",22,"3,374","2,980",394,,,,,,,,,,,,,,,,,,,
Bakery products,541,522,19,"1,062","1,061",1,,,,,,,,,,,,,,,,,,,
"Sorghum, barley, oats",155,138,17,293,288,6,,,,,,,,,,,,,,,,,,,
"Fruits, frozen juices",792,780,12,"1,572","1,414",158,,,,,,,,,,,,,,,,,,,
"Wine, beer, and related products",214,208,6,422,387,35,,,,,,,,,,,,,,,,,,,
"Nonagricultural foods, etc.",33,33,(-),66,67,-1,,,,,,,,,,,,,,,,,,,
Other foods,"1,211","1,211",(-),"2,422","2,478",-56,,,,,,,,,,,,,,,,,,,
"Alcoholic beverages, excluding wine",194,196,-1,390,334,56,,,,,,,,,,,,,,,,,,,
"Oilseeds, food oils",233,235,-2,469,561,-92,,,,,,,,,,,,,,,,,,,
Vegetables,555,560,-5,"1,115","1,125",-11,,,,,,,,,,,,,,,,,,,
Corn,761,771,-11,"1,532","2,004",-472,,,,,,,,,,,,,,,,,,,
Nuts,857,902,-45,"1,760","1,543",217,,,,,,,,,,,,,,,,,,,
Soybeans,"1,328","1,381",-53,"2,709","2,796",-87,,,,,,,,,,,,,,,,,,,
Wheat,380,507,-127,887,"1,078",-191,,,,,,,,,,,,,,,,,,,
Industrial supplies and materials,"43,468","41,446","2,022","84,914","75,988","8,926",,,,,,,,,,,,,,,,,,,
Nonmonetary gold,"2,297","1,689",607,"3,986","4,148",-162,,,,,,,,,,,,,,,,,,,
Crude oil,"2,782","2,489",293,"5,271","2,858","2,412",,,,,,,,,,,,,,,,,,,
Gas-natural,963,683,280,"1,645","1,590",55,,,,,,,,,,,,,,,,,,,
"Coal and fuels, other",773,494,279,"1,267","1,095",171,,,,,,,,,,,,,,,,,,,
Plastic materials,"3,138","2,986",153,"6,124","6,049",75,,,,,,,,,,,,,,,,,,,
Metallurgical grade coal,787,637,150,"1,425","1,217",208,,,,,,,,,,,,,,,,,,,
Steelmaking materials,792,665,127,"1,457","1,108",348,,,,,,,,,,,,,,,,,,,
Logs and lumber,650,556,94,"1,205","1,109",96,,,,,,,,,,,,,,,,,,,
Chemicals-fertilizers,734,649,85,"1,383","1,395",-12,,,,,,,,,,,,,,,,,,,
Other industrial supplies,"2,399","2,319",79,"4,718","4,431",287,,,,,,,,,,,,,,,,,,,
Fuel oil,"2,900","2,839",61,"5,739","5,652",87,,,,,,,,,,,,,,,,,,,
Agric. farming-unmanufactured,323,269,54,592,572,21,,,,,,,,,,,,,,,,,,,
"Cotton, raw",573,527,46,"1,101","1,008",93,,,,,,,,,,,,,,,,,,,
Newsprint,"1,179","1,134",45,"2,314","2,156",158,,,,,,,,,,,,,,,,,,,
Iron and steel mill products,864,821,43,"1,685","1,605",80,,,,,,,,,,,,,,,,,,,
Aluminum and alumina,736,696,40,"1,432","1,236",197,,,,,,,,,,,,,,,,,,,
"Petroleum products, other","5,049","5,010",39,"10,059","8,417","1,642",,,,,,,,,,,,,,,,,,,
Chemicals-other,"2,745","2,707",39,"5,452","4,968",484,,,,,,,,,,,,,,,,,,,
Manmade cloth,579,542,37,"1,122","1,091",31,,,,,,,,,,,,,,,,,,,
Hides and skins,166,130,36,295,329,-33,,,,,,,,,,,,,,,,,,,
"Agriculture-manufactured, other",277,251,26,527,523,5,,,,,,,,,,,,,,,,,,,
