,,,,,,,,,,,,,,,,,,,,,,,,,
Part A: Seasonally Adjusted (by Commodity/Service),,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 3. U.S. Exports of Services by Major Category,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Details may not equal totals due to seasonal adjustment and rounding. (R) - Revised.,,,,,,,,,,,,,,,,,,,,,,,,,
Period,Total Services,Maintenance and Repair Services n.i.e.,Transport,"Travel(for all purposes including education) (1)",Insurance Services,Financial Services,Charges for the Use of Intellectual Property n.i.e.,"Telecommuni-cations, Computer, and Information Services",Other Business Services,Government Goods and Services n.i.e. ,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,
Jan. - Dec.,"752,368","25,628","84,318","205,940","16,348","98,180","124,453","36,455","142,231","18,814",,,,,,,,,,,,,,,
Jan. - Feb.,"123,759","4,027","13,999","34,282","2,567","15,507","20,690","6,076","23,751","2,861",,,,,,,,,,,,,,,
January,"62,005","2,025","7,117","17,167","1,292","7,792","10,291","3,042","11,849","1,431",,,,,,,,,,,,,,,
February,"61,754","2,002","6,882","17,115","1,275","7,714","10,399","3,035","11,902","1,430",,,,,,,,,,,,,,,
March,"61,921","2,003","6,998","17,109","1,278","7,741","10,421","3,027","11,856","1,487",,,,,,,,,,,,,,,
April,"62,080","2,044","6,988","17,010","1,301","7,862","10,543","3,020","11,709","1,602",,,,,,,,,,,,,,,
May,"62,407","2,116","7,003","17,048","1,327","8,032","10,492","3,013","11,692","1,685",,,,,,,,,,,,,,,
June,"62,946","2,232","7,069","17,057","1,356","8,230","10,458","3,005","11,804","1,734",,,,,,,,,,,,,,,
July,"63,102","2,213","6,959","17,170","1,387","8,138","10,441","2,997","12,047","1,751",,,,,,,,,,,,,,,
August,"63,310","2,171","7,055","17,130","1,410","8,287","10,402","3,006","12,131","1,718",,,,,,,,,,,,,,,
September,"63,382","2,250","7,002","17,218","1,423","8,423","10,341","3,031","12,057","1,637",,,,,,,,,,,,,,,
October,"63,084","2,227","6,968","17,274","1,426","8,524","10,260","3,073","11,824","1,508",,,,,,,,,,,,,,,
November,"63,196","2,148","7,092","17,315","1,432","8,774","10,211","3,099","11,695","1,429",,,,,,,,,,,,,,,
December,"63,181","2,196","7,184","17,328","1,440","8,661","10,195","3,109","11,667","1,401",,,,,,,,,,,,,,,
2017, , , , , , , , ,, ,,,,,,,,,,,,,,,
Jan. - Dec.,"780,879","25,916","86,548","203,696","17,815","106,424","127,935","38,937","154,458","19,150",,,,,,,,,,,,,,,
Jan. - Feb.,"127,834","4,562","14,264","34,548","2,747","16,771","19,924","6,390","25,409","3,220",,,,,,,,,,,,,,,
January,"63,675","2,257","7,134","17,274","1,383","8,426","9,999","3,175","12,466","1,561",,,,,,,,,,,,,,,
February,"64,159","2,305","7,130","17,274","1,363","8,344","9,925","3,215","12,943","1,659",,,,,,,,,,,,,,,
March,"64,717","2,407","7,163","17,289","1,359","8,571","9,906","3,229","13,096","1,696",,,,,,,,,,,,,,,
April,"64,148","2,255","7,024","17,007","1,411","8,454","10,416","3,181","12,736","1,663",,,,,,,,,,,,,,,
May,"64,292","2,168","7,009","16,859","1,439","8,681","10,612","3,172","12,711","1,641",,,,,,,,,,,,,,,
June,"64,562","2,189","7,162","16,750","1,457","8,790","10,643","3,180","12,760","1,631",,,,,,,,,,,,,,,
July,"65,159","2,056","7,292","16,810","1,515","8,880","10,980","3,243","12,740","1,642",,,,,,,,,,,,,,,
August,"65,370","2,090","7,066","16,730","1,547","9,123","11,089","3,280","12,819","1,626",,,,,,,,,,,,,,,
September,"65,948","2,033","7,414","16,852","1,568","9,172","11,119","3,300","12,908","1,583",,,,,,,,,,,,,,,
October,"66,196","2,073","7,424","16,925","1,579","9,306","11,069","3,303","13,006","1,511",,,,,,,,,,,,,,,
November,"66,265","2,008","7,400","16,951","1,590","9,364","11,067","3,317","13,096","1,472",,,,,,,,,,,,,,,
December,"66,389","2,076","7,329","16,974","1,602","9,312","11,111","3,341","13,178","1,465",,,,,,,,,,,,,,,
2018, , , , , , , , , , ,,,,,,,,,,,,,,,
Jan. - Feb.,"134,065","3,930","14,958","34,389","3,244","18,744","22,479","6,772","26,551","2,998",,,,,,,,,,,,,,,
January (R),"66,799","1,958","7,395","17,138","1,616","9,375","11,202","3,375","13,251","1,491",,,,,,,,,,,,,,,
February,"67,266","1,972","7,563","17,251","1,629","9,369","11,277","3,397","13,300","1,507",,,,,,,,,,,,,,,
March, , , , , , , , , , ,,,,,,,,,,,,,,,
April, , , , , , , , , , ,,,,,,,,,,,,,,,
May, , , , , , , , , , ,,,,,,,,,,,,,,,
June, , , , , , , , , , ,,,,,,,,,,,,,,,
July, , , , , , , , , , ,,,,,,,,,,,,,,,
August, , , , , , , , , , ,,,,,,,,,,,,,,,
September, , , , , , , , , , ,,,,,,,,,,,,,,,
October, , , , , , , , , , ,,,,,,,,,,,,,,,
November, , , , , , , , , , ,,,,,,,,,,,,,,,
December, , , , , , , , , , ,,,,,,,,,,,,,,,
January data as published last month:,,,,,,,,,,,,,,,,,,,,,,,,,
,"66,664","1,958","7,416","16,998","1,616","9,359","11,202","3,375","13,251","1,491",,,,,,,,,,,,,,,
n.i.e.  Not included elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) All travel purposes include 1) business travel, including expenditures by border, seasonal, and other short-term workers and 2) personal travel, including health-related and",,,,,,,,,,,,,,,,,,,,,,,,,
education-related travel.,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: For information on data sources, methodology, and definitions, see the explanatory notes in this release or at www.census.gov/ft900 or ",,,,,,,,,,,,,,,,,,,,,,,,,
www.bea.gov/newsreleases/international/trade/tradnewsrelease.htm.,,,,,,,,,,,,,,,,,,,,,,,,,
