,,,,,,,,,,,,,,,,,,,,,,,,,
"Exhibit 2. Origin of Movement of U.S. Exports of Goods by State by NAICS-Based Product Code Groupings,",,,,,,,,,,,,,,,,,,,,,,,,,
Not Seasonally Adjusted: 2018,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Foreign Trade Zone (FTZ) shipments are included in the U. S. total and distributed among individual states,,,,,,,,,,,,,,,,,,,,,,,,,
and territories. Separate FTZ total line is for reference only. Details may not equal totals due to rounding. (X) Not applicable. ,,,,,,,,,,,,,,,,,,,,,,,,,
(-) Represents zero or less than one-half unit of measurement shown.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Item,NAICS-Based Product Code Groupings,,,,,,Re-exports,,Total,,,,,,,,,,,,,,,,
,Manufactured Commodities,,,Non-Manufactured Commodities (1),,,,,,,,,,,,,,,,,,,,,
,February,Year-to-Date,,February,Year-to-Date,,February,Year-to-Date,February,Year-to-Date,,,,,,,,,,,,,,,
,,Total,Percent,,Total,Percent,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Total,"88,854.8","175,217.2",100.0,"17,225.1","33,593.9",100.0,"19,815.6","40,268.9","128,097.6","253,316.2",,,,,,,,,,,,,,,
Foreign Trade Zone,"2,592.1","4,468.2",2.6,1.0,1.4,(-),211.7,451.6,"2,804.7","4,921.2",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  Alabama,"1,422.2","2,755.7",1.6,177.4,370.9,1.1,32.3,64.0,"1,631.9","3,190.6",,,,,,,,,,,,,,,
  Alaska,12.0,42.7,(-),209.6,288.0,0.9,2.1,4.5,223.7,335.1,,,,,,,,,,,,,,,
  Arizona,"1,079.8","2,110.3",1.2,201.1,463.3,1.4,503.0,"1,038.0","1,783.9","3,611.6",,,,,,,,,,,,,,,
  Arkansas,342.9,744.0,0.4,39.9,90.8,0.3,81.8,220.7,464.6,"1,055.6",,,,,,,,,,,,,,,
  California,"9,303.6","17,732.3",10.1,"2,012.2","3,735.8",11.1,"3,299.1","6,848.1","14,615.0","28,316.1",,, ,,,,,,,,,,,,
  Colorado,575.9,"1,139.7",0.7,36.5,75.3,0.2,71.1,144.7,683.5,"1,359.6",,,,,,,,,,,,,,,
  Connecticut,820.9,"1,697.7",1.0,109.3,197.1,0.6,134.2,304.4,"1,064.4","2,199.2",,,,,,,,,,,,,,,
  Delaware,281.4,559.8,0.3,4.6,10.2,(-),58.3,102.7,344.2,672.7,,,,,,,,,,,,,,,
  Florida,"3,263.9","6,528.5",3.7,365.7,679.0,2.0,978.8,"1,875.7","4,608.4","9,083.2",,,,,,,,,,,,,,,
  Georgia,"2,430.5","4,458.8",2.5,332.6,629.5,1.9,450.0,846.2,"3,213.1","5,934.5",,,,,,,,,,,,,,,
  Hawaii,29.5,75.3,(-),17.0,25.1,0.1,4.6,7.5,51.1,108.0,,,,,,,,,,,,,,,
  Idaho,198.3,386.3,0.2,46.7,83.3,0.2,107.3,209.6,352.3,679.2,,,,,,,,,,,,,,,
  Illinois,"3,918.2","7,699.0",4.4,263.4,572.4,1.7,913.5,"1,858.1","5,095.0","10,129.5",,,,,,,,,,,,,,,
  Indiana,"2,730.4","5,511.5",3.1,92.2,128.9,0.4,223.3,453.5,"3,045.8","6,093.9",,,,,,,,,,,,,,,
  Iowa,956.0,"1,877.5",1.1,157.6,302.6,0.9,30.2,61.4,"1,143.8","2,241.5",,,,,,,,,,,,,,,
  Kansas,599.4,"1,240.7",0.7,146.4,318.6,0.9,52.8,107.1,798.5,"1,666.5",,,,,,,,,,,,,,,
  Kentucky,"1,891.9","3,689.0",2.1,34.5,58.3,0.2,538.8,"1,074.7","2,465.2","4,822.1",,,,,,,,,,,,,,,
  Louisiana,"2,991.2","6,101.9",3.5,"2,094.4","4,009.5",11.9,55.3,90.6,"5,140.8","10,201.9",,,,,,,,,,,,,,,
  Maine,118.0,245.8,0.1,128.9,208.7,0.6,11.5,19.6,258.5,474.1,,,,,,,,,,,,,,,
  Maryland,713.3,"1,329.2",0.8,80.9,171.4,0.5,120.4,241.7,914.6,"1,742.3",,,,,,,,,,,,,,,
