,,,,,,,,,,,,,,,,,,,,,,,,,
Part A: Seasonally Adjusted (by Commodity/Service),,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 8. U.S. Imports of Goods by End-Use Category and Commodity,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Details may not equal totals due to seasonal adjustment and rounding. The commodities in this exhibit are ranked ,,,,,,,,,,,,,,,,,,,,,,,,,
on the monthly change within each major commodity grouping. (-) Represents zero or less than one-half of measurement shown. (R) - Revised.,,,,,,,,,,,,,,,,,,,,,,,,,
Item (1),February,January,Monthly ,Year-to-Date,Year-to-Date,Year-to-Date,,,,,,,,,,,,,,,,,,,
,2018,2018 (R),Change,2018,2017,Change,,,,,,,,,,,,,,,,,,,
"Total, Balance of Payments Basis","214,190","210,857","3,332","425,047","389,449","35,598",,,,,,,,,,,,,,,,,,,
Net Adjustments,"1,641","1,804",-163,"3,446","3,361",85,,,,,,,,,,,,,,,,,,,
"Total, Census Basis","212,548","209,053","3,495","421,601","386,088","35,513",,,,,,,,,,,,,,,,,,,
"Foods, feeds, and beverages","12,643","11,876",767,"24,520","22,413","2,107",,,,,,,,,,,,,,,,,,,
Other foods,"1,557","1,250",306,"2,807","2,252",556,,,,,,,,,,,,,,,,,,,
"Alcoholic beverages, excluding wine",741,565,175,"1,306","1,331",-25,,,,,,,,,,,,,,,,,,,
Fish and shellfish,"1,939","1,815",125,"3,754","3,458",296,,,,,,,,,,,,,,,,,,,
"Wine, beer, and related products","1,072",977,95,"2,049","1,897",152,,,,,,,,,,,,,,,,,,,
Bakery products,984,903,81,"1,886","1,809",77,,,,,,,,,,,,,,,,,,,
"Fruits, frozen juices","1,694","1,618",75,"3,312","3,017",295,,,,,,,,,,,,,,,,,,,
Green coffee,366,317,48,683,821,-138,,,,,,,,,,,,,,,,,,,
Nuts,328,291,37,619,530,89,,,,,,,,,,,,,,,,,,,
"Tea, spices, etc.",256,235,21,491,427,64,,,,,,,,,,,,,,,,,,,
"Nonagricultural foods, etc.",110,94,17,204,183,21,,,,,,,,,,,,,,,,,,,
Meat products,968,969,-1,"1,937","1,729",208,,,,,,,,,,,,,,,,,,,
Dairy products and eggs,190,196,-6,386,343,43,,,,,,,,,,,,,,,,,,,
Cocoa beans,123,140,-17,263,346,-84,,,,,,,,,,,,,,,,,,,
Cane and beet sugar,123,147,-24,270,279,-9,,,,,,,,,,,,,,,,,,,
"Food oils, oilseeds",659,692,-33,"1,351","1,177",173,,,,,,,,,,,,,,,,,,,
Vegetables,"1,057","1,117",-60,"2,173","1,928",246,,,,,,,,,,,,,,,,,,,
Feedstuff and foodgrains,478,550,-72,"1,028",884,144,,,,,,,,,,,,,,,,,,,
Industrial supplies and materials,"48,091","47,308",783,"95,399","85,633","9,766",,,,,,,,,,,,,,,,,,,
Crude oil,"14,025","13,286",740,"27,311","25,377","1,934",,,,,,,,,,,,,,,,,,,
Chemicals-organic,"2,525","2,235",290,"4,760","4,020",740,,,,,,,,,,,,,,,,,,,
"Industrial supplies, other","3,244","3,045",200,"6,289","5,408",881,,,,,,,,,,,,,,,,,,,
"Petroleum products, other","2,869","2,724",144,"5,593","5,463",130,,,,,,,,,,,,,,,,,,,
"Iron and steel products, n.e.c.",888,776,112,"1,664","1,381",283,,,,,,,,,,,,,,,,,,,
Other precious metals,932,832,100,"1,764","1,454",310,,,,,,,,,,,,,,,,,,,
Chemicals-fertilizers,"1,100","1,009",91,"2,109","2,095",14,,,,,,,,,,,,,,,,,,,
