,,,,,,,,,,,,,,,,,,,,,,,,,
Part A: Seasonally Adjusted (by Commodity/Service),,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 4. U.S. Imports of Services by Major Category,,,,,,,,,,,,,,,,,,,,,,,,,
In millions of dollars. Details may not equal totals due to seasonal adjustment and rounding. (R) - Revised.,,,,,,,,,,,,,,,,,,,,,,,,,
Period,Total Services,Maintenance and Repair Services n.i.e.,Transport,"Travel
(for all purposes including education) (1)",Insurance Services,Financial Services,Charges for the Use of Intellectual Property n.i.e.,"Telecommuni-cations, Computer, and Information Services",Other Business Services,Government Goods and Services n.i.e. ,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,
Jan. - Dec.,"504,654","8,810","96,827","123,618","48,077","25,629","44,392","36,851","98,922","21,528",,,,,,,,,,,,,,,
Jan. - Feb.,"82,853","1,425","16,110","20,070","7,921","4,174","6,868","6,215","16,575","3,495",,,,,,,,,,,,,,,
January,"41,319",711,"7,970","10,012","3,964","2,076","3,445","3,097","8,302","1,743",,,,,,,,,,,,,,,
February,"41,534",714,"8,140","10,058","3,957","2,097","3,423","3,118","8,273","1,753",,,,,,,,,,,,,,,
March,"41,298",712,"7,856","10,088","3,935","2,118","3,430","3,089","8,298","1,771",,,,,,,,,,,,,,,
April,"41,609",696,"8,082","10,189","3,900","2,095","3,464","3,008","8,375","1,799",,,,,,,,,,,,,,,
May,"41,580",689,"8,078","10,175","3,898","2,071","3,502","2,975","8,379","1,814",,,,,,,,,,,,,,,
June,"41,575",716,"8,006","10,151","3,930","2,119","3,541","2,988","8,309","1,815",,,,,,,,,,,,,,,
July,"41,673",721,"7,977","10,247","3,995","2,132","3,583","3,048","8,167","1,803",,,,,,,,,,,,,,,
August,"43,203",751,"8,006","10,393","4,044","2,160","4,865","3,088","8,098","1,797",,,,,,,,,,,,,,,
September,"42,413",774,"8,092","10,577","4,077","2,189","3,696","3,108","8,102","1,799",,,,,,,,,,,,,,,
October,"42,754",759,"8,236","10,634","4,094","2,173","3,766","3,108","8,179","1,807",,,,,,,,,,,,,,,
November,"42,738",782,"8,148","10,517","4,122","2,208","3,820","3,110","8,219","1,813",,,,,,,,,,,,,,,
December,"42,959",784,"8,237","10,578","4,161","2,191","3,858","3,113","8,221","1,815",,,,,,,,,,,,,,,
2017, , , , , , , , , , ,,,,,,,,,,,,,,,
Jan. - Dec.,"538,108","8,559","101,218","135,209","49,698","27,986","48,354","40,221","104,773","22,093",,,,,,,,,,,,,,,
Jan. - Feb.,"86,639","1,500","16,833","21,788","7,902","4,282","7,791","6,588","16,269","3,687",,,,,,,,,,,,,,,
January,"43,359",754,"8,446","10,924","3,976","2,143","3,883","3,251","8,146","1,837",,,,,,,,,,,,,,,
February,"43,280",746,"8,387","10,864","3,926","2,139","3,908","3,336","8,123","1,850",,,,,,,,,,,,,,,
March,"43,374",770,"8,368","10,836","3,937","2,202","3,935","3,368","8,102","1,855",,,,,,,,,,,,,,,
April,"43,847",735,"8,312","11,125","4,073","2,174","3,990","3,265","8,344","1,829",,,,,,,,,,,,,,,
May,"44,538",737,"8,437","11,363","4,138","2,295","4,035","3,242","8,472","1,819",,,,,,,,,,,,,,,
June,"44,792",740,"8,388","11,511","4,152","2,345","4,080","3,251","8,501","1,823",,,,,,,,,,,,,,,
July,"45,291",683,"8,418","11,425","4,206","2,357","4,004","3,336","9,011","1,852",,,,,,,,,,,,,,,
August,"45,252",651,"8,186","11,304","4,227","2,420","4,002","3,390","9,209","1,864",,,,,,,,,,,,,,,
September,"45,902",705,"8,468","11,425","4,244","2,477","4,036","3,422","9,265","1,860",,,,,,,,,,,,,,,
October,"45,797",674,"8,541","11,289","4,258","2,479","4,105","3,432","9,180","1,839",,,,,,,,,,,,,,,
November,"46,080",694,"8,537","11,463","4,272","2,497","4,164","3,450","9,173","1,830",,,,,,,,,,,,,,,
December,"46,596",670,"8,730","11,681","4,288","2,460","4,211","3,477","9,246","1,833",,,,,,,,,,,,,,,
2018, , , , , , , , , , ,,,,,,,,,,,,,,,
Jan. - Feb.,"94,602","1,299","17,800","22,699","8,629","5,045","9,482","7,047","18,896","3,705",,,,,,,,,,,,,,,
January (R),"46,755",648,"8,843","11,431","4,305","2,524","4,247","3,512","9,397","1,848",,,,,,,,,,,,,,,
February,"47,847",651,"8,957","11,268","4,323","2,521","5,235","3,535","9,498","1,857",,,,,,,,,,,,,,,
March, , , , , , , , , , ,,,,,,,,,,,,,,,
April, , , , , , , , , , ,,,,,,,,,,,,,,,
May, , , , , , , , , , ,,,,,,,,,,,,,,,
June, , , , , , , , , , ,,,,,,,,,,,,,,,
July, , , , , , , , , , ,,,,,,,,,,,,,,,
August, , , , , , , , , , ,,,,,,,,,,,,,,,
September, , , , , , , , , , ,,,,,,,,,,,,,,,
October, , , , , , , , , , ,,,,,,,,,,,,,,,
November, , , , , , , , , , ,,,,,,,,,,,,,,,
December, , , , , , , , , , ,,,,,,,,,,,,,,,
January data as published last month:,,,,,,,,,,,,,,,,,,,,,,,,,
,"46,775",648,"8,843","11,518","4,305","2,456","4,247","3,512","9,397","1,848",,,,,,,,,,,,,,,
n.i.e.  Not included elsewhere,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) All travel purposes include 1) business travel, including expenditures by border, seasonal, and other short-term workers and 2) personal travel, including health-related and",,,,,,,,,,,,,,,,,,,,,,,,,
education-related travel.,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: For information on data sources, methodology, and definitions, see the explanatory notes in this release or at www.census.gov/ft900 or ",,,,,,,,,,,,,,,,,,,,,,,,,
www.bea.gov/newsreleases/international/trade/tradnewsrelease.htm.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
